link,make,model,year_of_manufacture,km_driven,fuel_type,ownership,price,location,Reg year,Make year,Reg number,Engine capacity,Spare key,Transmission,KM driven,Fuel type
https://www.cars24.com/buy-used-maruti-swift-dzire-2013-cars-hyderabad-10416536731/,Maruti,Swift Dzire VDI,2013,"1,09,035 km",Diesel,2nd owner,₹4.25L,"Bachupally, Hyderabad",Apr 2013,2013,AP10-BD4428Engine,1248 cc,YesTransmission,ManualKM,"109,035 km",Diesel2013
https://www.cars24.com/buy-used-maruti-ertiga-2022-cars-hyderabad-10424031732/,Maruti,Ertiga VXI AT SHVS,2022,"35,378 km",Petrol,1st owner,₹10.84L,"Bachupally, Hyderabad",May 2022,2022,TS12-EU4555Engine,1462 cc,YesTransmission,AutomaticKM,"35,378 km",Petrol2022
https://www.cars24.com/buy-used-maruti-alto-k10-2022-cars-hyderabad-10490933736/,Maruti,Alto K10 VXI,2022,"22,864 km",Petrol,1st owner,₹4.15L,"Bachupally, Hyderabad",Nov 2022,2022,TS07-JM3858Engine,998 cc,YesTransmission,ManualKM,"22,864 km",Petrol2022
https://www.cars24.com/buy-used-maruti-baleno-2016-cars-hyderabad-10451138735/,Maruti,Baleno DELTA PETROL 1.2,2016,"55,511 km",Petrol,2nd owner,₹4.91L,"Kompally, Hyderabad",Oct 2016,2016,TS07-FE5376Engine,1197 cc,YesTransmission,ManualKM,"55,511 km",Petrol2016
https://www.cars24.com/buy-used-maruti-alto-800-2014-cars-hyderabad-10455232728/,Maruti,Alto 800 LXI,2014,"43,780 km",Petrol,1st owner,₹2.39L,"Kompally, Hyderabad",Aug 2014,2014,TS08-EC0838Engine,796 cc,NoTransmission,ManualKM,"43,780 km",Petrol2014
https://www.cars24.com/buy-used-maruti-swift-2016-cars-hyderabad-10466931731/,Maruti,Swift ZXI,2016,"77,053 km",Petrol,1st owner,₹5.38L,"Bachupally, Hyderabad",Apr 2017,2016,TS11-EJ9192Engine,1197 cc,YesTransmission,ManualKM,"77,053 km",Petrol2016
https://www.cars24.com/buy-used-maruti-swift-2017-cars-hyderabad-10471237728/,Maruti,Swift VXI,2017,"25,847 km",Petrol,2nd owner,₹5.61L,"Attapur, Hyderabad",Aug 2017,2017,TS07-FS8002Engine,1197 cc,NoTransmission,ManualKM,"25,847 km",Petrol2017
https://www.cars24.com/buy-used-maruti-alto-800-2013-cars-hyderabad-10422231783/,Maruti,Alto 800 LXI,2013,"49,551 km",Petrol,2nd owner,₹2.19L,"Bachupally, Hyderabad",Mar 2013,2013,AP28-DS4263Engine,796 cc,YesTransmission,ManualKM,"49,551 km",Petrol2013
https://www.cars24.com/buy-used-maruti-baleno-2019-cars-hyderabad-10406735756/,Maruti,Baleno DELTA PETROL 1.2,2019,"74,173 km",Petrol,1st owner,₹6.15L,"Kompally, Hyderabad",Jul 2019,2019,TS08-GP1851Engine,1197 cc,YesTransmission,ManualKM,"74,173 km",Petrol2019
https://www.cars24.com/buy-used-maruti-celerio-2018-cars-hyderabad-10420337739/,Maruti,Celerio VXI (O),2018,"37,192 km",Petrol,2nd owner,₹4.18L,"Kompally, Hyderabad",Dec 2018,2018,TS10-ES3266Engine,998 cc,NoTransmission,ManualKM,"37,192 km",Petrol2018
https://www.cars24.com/buy-used-maruti-ciaz-2022-cars-hyderabad-10445038732/,Maruti,Ciaz DELTA 1.5 SHVS MT PETROL,2022,"16,453 km",Petrol,1st owner,₹8.98L,"Kompally, Hyderabad",Aug 2022,2022,TS08-JC9963Engine,1462 cc,YesTransmission,ManualKM,"16,453 km",Petrol2022
https://www.cars24.com/buy-used-maruti-baleno-2018-cars-hyderabad-10410432738/,Maruti,Baleno ZETA CVT PETROL 1.2,2018,"62,129 km",Petrol,1st owner,₹6.53L,"Kompally, Hyderabad",May 2018,2018,TS13-EK9711Engine,1197 cc,YesTransmission,AutomaticKM,"62,129 km",Petrol2018
https://www.cars24.com/buy-used-toyota-glanza-2019-cars-hyderabad-10414730734/,Toyota,Glanza V,2019,"31,957 km",Petrol,1st owner,₹7.28L,"Bachupally, Hyderabad",Dec 2019,2019,TS07-HA0200Engine,1197 cc,YesTransmission,ManualKM,"31,957 km",Petrol2019
https://www.cars24.com/buy-used-maruti-baleno-2021-cars-hyderabad-10476635739/,Maruti,Baleno ZETA PETROL 1.2,2021,"46,568 km",Petrol,1st owner,₹7.31L,"Bachupally, Hyderabad",Apr 2021,2021,TS10-EZ5510Engine,1197 cc,YesTransmission,ManualKM,"46,568 km",Petrol2021
https://www.cars24.com/buy-used-maruti-celerio-2023-cars-hyderabad-10404138734/,Maruti,Celerio ZXI,2023,"10,006 km",Petrol,1st owner,₹5.98L,"Kompally, Hyderabad",Feb 2024,2023,TS09-GF8083Engine,998 cc,YesTransmission,ManualKM,"10,006 km",Petrol2023
https://www.cars24.com/buy-used-maruti-baleno-2018-cars-hyderabad-10488135739/,Maruti,Baleno ZETA PETROL 1.2,2018,"60,017 km",Petrol,1st owner,₹6.17L,"Attapur, Hyderabad",Jun 2018,2018,TS08-FY0294Engine,1197 cc,YesTransmission,ManualKM,"60,017 km",Petrol2018
https://www.cars24.com/buy-used-maruti-s-presso-2021-cars-hyderabad-10480239730/,Maruti,S PRESSO VXI+,2021,"45,232 km",Petrol,1st owner,₹4.36L,"Kompally, Hyderabad",Dec 2021,2021,TS08-HU3534Engine,998 cc,YesTransmission,ManualKM,"45,232 km",Petrol2021
https://www.cars24.com/buy-used-maruti-celerio-2021-cars-hyderabad-10420732713/,Maruti,Celerio ZXI PLUS AGS,2021,"3,760 km",Petrol,2nd owner,₹6.50L,"Kompally, Hyderabad",Jan 2022,2021,TS08-HW8490Engine,998 cc,YesTransmission,AutomaticKM,"3,760 km",Petrol2021
https://www.cars24.com/buy-used-skoda-rapid-2020-cars-hyderabad-10425833729/,Skoda,Rapid MONTE CARLO TSI,2020,"57,801 km",Petrol,1st owner,₹8.11L,"Kompally, Hyderabad",Sep 2020,2020,TS08-HE4447Engine,999 cc,YesTransmission,ManualKM,"57,801 km",Petrol2020
https://www.cars24.com/buy-used-maruti-alto-k10-2023-cars-hyderabad-10458334733/,Maruti,Alto K10 VXI PLUS AMT,2023,"15,262 km",Petrol,1st owner,₹5.65L,"Kompally, Hyderabad",Sep 2023,2023,TS15-FM7963Engine,998 cc,YesTransmission,AutomaticKM,"15,262 km",Petrol2023
https://www.cars24.com/buy-used-maruti-ignis-2017-cars-hyderabad-10405538730/,Maruti,IGNIS ZETA 1.2,2017,"52,488 km",Petrol,1st owner,₹5.10L,"Bachupally, Hyderabad",May 2017,2017,TS07-FQ0674Engine,1197 cc,YesTransmission,ManualKM,"52,488 km",Petrol2017
https://www.cars24.com/buy-used-maruti-ignis-2018-cars-hyderabad-10470537738/,Maruti,IGNIS ALPHA 1.2,2018,"35,090 km",Petrol,1st owner,₹5.41L,"Kompally, Hyderabad",Mar 2019,2018,TS10-ET0599Engine,1197 cc,YesTransmission,ManualKM,"35,090 km",Petrol2018
https://www.cars24.com/buy-used-maruti-swift-2018-cars-hyderabad-10453988709/,Maruti,Swift VDI,2018,"72,273 km",Diesel,2nd owner,₹6.10L,"Bachupally, Hyderabad",Nov 2018,2018,TS08-GE1024Engine,1248 cc,NoTransmission,ManualKM,"72,273 km",Diesel2018
https://www.cars24.com/buy-used-maruti-alto-800-2014-cars-hyderabad-10492938787/,Maruti,Alto 800 LXI,2014,"58,622 km",Petrol,1st owner,₹2.52L,"Kompally, Hyderabad",Dec 2014,2014,AP21-BC0820Engine,796 cc,YesTransmission,ManualKM,"58,622 km",Petrol2014
https://www.cars24.com/buy-used-maruti-xl6-2021-cars-hyderabad-10406333759/,Maruti,XL6 ZETA MT,2021,"53,293 km",Petrol,1st owner,₹9.80L,"Kompally, Hyderabad",Jul 2021,2021,TS19-F9000Engine,1462 cc,YesTransmission,ManualKM,"53,293 km",Petrol2021
https://www.cars24.com/buy-used-maruti-swift-2019-cars-hyderabad-10434910788/,Maruti,Swift ZXI PLUS AMT,2019,"90,696 km",Petrol,1st owner,₹6.12L,"Kompally, Hyderabad",May 2019,2019,TS09-FF2573Engine,1197 cc,YesTransmission,AutomaticKM,"90,696 km",Petrol2019
https://www.cars24.com/buy-used-maruti-swift-2012-cars-hyderabad-10468930799/,Maruti,Swift VDI,2012,"62,234 km",Diesel,2nd owner,₹3.56L,"Attapur, Hyderabad",Aug 2012,2012,AP10-BB1751Engine,1248 cc,NoTransmission,ManualKM,"62,234 km",Diesel2012
https://www.cars24.com/buy-used-maruti-alto-k10-2011-cars-hyderabad-10490182741/,Maruti,Alto K10 VXI,2011,"81,585 km",Petrol,2nd owner,₹1.85L,"Attapur, Hyderabad",Dec 2011,2011,AP09-CH0041Engine,998 cc,YesTransmission,ManualKM,"81,585 km",Petrol2011
https://www.cars24.com/buy-used-maruti-swift-2018-cars-hyderabad-10473388706/,Maruti,Swift ZXI AMT,2018,"1,06,419 km",Petrol,2nd owner,₹5.28L,"Bachupally, Hyderabad",Jul 2018,2018,TS34-B4021Engine,1197 cc,YesTransmission,AutomaticKM,"106,419 km",Petrol2018
https://www.cars24.com/buy-used-maruti-dzire-2021-cars-hyderabad-10412185747/,Maruti,Dzire VXI,2021,"45,407 km",Petrol,1st owner,₹6.90L,"Attapur, Hyderabad",Jul 2021,2021,TS30-H2272Engine,1197 cc,YesTransmission,ManualKM,"45,407 km",Petrol2021
https://www.cars24.com/buy-used-maruti-vitara-brezza-2021-cars-hyderabad-10453631782/,Maruti,Vitara Brezza ZXI PLUS AT DUAL TONE SHVS,2021,"68,282 km",Petrol,1st owner,₹10.07L,"Kompally, Hyderabad",Apr 2021,2021,TS08-HM4140Engine,1462 cc,NoTransmission,AutomaticKM,"68,282 km",Petrol2021
